name,type,rate
Запрос вывода денег в любой день,Опция,0.025
Отключение похожих товаров других продавцов в ваших карточках товаров,Опция,0.025
Повышение позиции товара в поиске и каталоге,Опция,0.023
Автозапуск видео в каталоге,Опция,0.015
Подписка «Джем»,Опция,0.015
Отключение графика изменения цены в карточках товаров,Опция,0.015
Пробные закупки собственных товаров,Опция,0.0075
Акцентные цвета карточки товара,Опция,0.01
Автозапуск видео в карточках товаров,Опция,0.01
Закрепление отзыва,Опция,0.01
Дополнительная защита от массовых заказов конкурентов,Опция,0.0075
"Чат с покупателем, оставившим отзыв",Опция,0.0075
Статус Премиум-продавца,Опция,0.0075
Дополнительный отчёт «Поисковые запросы: ваши товары»,Опция,0.0075
Показ и генерация рич-контента без ограничений,Опция,0.007
Рекомендации по рыночной цене,Опция,0.005
Улучшение качества фото и видео,Опция,0.005
ИИ-ответы на отзывы и вопросы,Опция,0.005
Самостоятельная приёмка в СЦ для модели «Маркетплейс»,Опция,0.005
Перераспределение остатков между складами,Опция,0.005
Доступ к курсам Pro WB,Опция,0.005
Приоритетная персональная поддержка,Опция,0.005
Приоритетное рассмотрение жалоб на отзывы,Опция,0.005
Пропуск цели в программе лояльности,Опция,0.005
Генерация описаний без ограничений,Опция,0.005
Персональное рассмотрение жалоб на подозрение в мошенничестве,Опция,0.0025
Блок «Продавец рекомендует» в карточке товара,Опция,0.015
Выходные дни для склада продавца по модели «Маркетплейс»,Опция,0.005
Автоматический вывод денег на счёт WB Банка,Опция,0.02
Закрепление второго отзыва,Опция,0.0075
Общий рейтинг по карточке,Опция,0.0075
Отложенная публикация негативных отзывов,Опция,0.01
Рейтинг+,Пакет,0.025
"Промо премиум 2,35%",Пакет,0.0235
Промо+ 2%,Пакет,0.02
