name,delivery_type,delivery_1l,delivery_extra_l,storage_1l,storage_extra_l
СЦ Белая Дача,Короб,94.3,28.7,0.16,0.16
СЦ Ростов-на-Дону,Короб,80.5,24.5,0.14,0.14
СЦ Владикавказ,Короб,59.8,18.2,0.1,0.1
СЦ Липецк,Короб,73.6,22.4,0.13,0.13
СЦ Новосибирск Пасечная,Короб,161.0,49.0,0.28,0.28
СЦ Ижевск,Короб,73.6,22.4,0.13,0.13
СЦ Омск,Короб,73.6,22.4,0.13,0.13
СЦ Хабаровск,Короб,87.4,26.6,0.15,0.15
СЦ Астрахань,Короб,73.6,22.4,0.13,0.13
СЦ Чита 2,Короб,59.8,18.2,0.1,0.1
СЦ Уфа,Короб,96.6,29.4,0.17,0.17
СЦ Шымкент,Короб,52.9,16.1,0.09,0.09
СЦ Томск,Короб,92.0,28.0,0.16,0.16
СЦ Челябинск 2,Короб,82.8,25.2,0.14,0.14
Санкт-Петербург СГТ,Короб,48.3,14.7,0.08,0.08
Ярославль СГТ,Короб,46.0,14.0,0.08,0.08
Ташкент 1,Короб,46.0,14.0,0.08,0.08
СЦ Чебоксары 2,Короб,78.2,23.8,0.14,0.14
СЦ Ульяновск,Короб,82.8,25.2,0.14,0.14
Обухово,Короб,78.2,23.8,0.14,0.14
СЦ Курск,Короб,73.6,22.4,0.13,0.13
Алматы Атакент,Короб,66.7,20.3,0.12,0.12
СЦ Иркутск,Короб,78.2,23.8,0.14,0.14
Софрино СГТ,Короб,43.7,13.3,0.08,0.08
СЦ Мурманск,Короб,75.9,23.1,0.13,0.13
Радумля СГТ,Короб,43.7,13.3,0.08,0.08
Краснодар (Тихорецкая),Короб,75.9,23.1,0.13,0.13
Челябинск СГТ,Короб,46.0,14.0,0.08,0.08
СЦ Крыловская,Короб,64.4,19.6,0.12,0.12
СЦ Вологда 2,Короб,85.1,25.9,0.15,0.15
Белые Столбы,Короб,128.8,39.2,0.22,0.22
Екатеринбург - Перспективный 12/2,Короб,55.2,16.8,0.15,0.15
Кузнецк СГТ,Короб,46.0,14.0,0.08,0.08
Сц Брянск 2,Короб,71.3,21.7,0.12,0.12
Электросталь,Короб,78.2,23.8,0.14,0.14
СЦ Абакан 2,Короб,92.0,28.0,0.16,0.16
СЦ Смоленск 3,Короб,73.6,22.4,0.13,0.13
СЦ Пермь 2,Короб,75.9,23.1,0,0.13
Коледино,Короб,92.0,28.0,0.16,0.16
Рязань (Тюшевское),Короб,64.4,19.6,0.11,0.11
Новосемейкино,Короб,39.1,11.9,0.14,0.14
Воронеж,Короб,34.5,10.5,0.13,0.13
СЦ Байсерке,Короб,62.1,18.9,0.11,0.11
Котовск,Короб,64.4,19.6,0.11,0.11
СЦ Пятигорск (Этока),Короб,62.1,18.9,0.11,0.11
Новосибирск,Короб,204.7,62.3,0.36,0.36
Владимир Воршинское,Короб,59.8,18.2,0.1,0.1
Волгоград,Короб,50.6,15.4,0.09,0.09
Екатеринбург - Испытателей 14г,Короб,103.5,31.5,0.18,0.18
Сарапул,Короб,39.1,11.9,0.14,0.14
СЦ Кузнецк,Короб,78.2,23.8,0.14,0.14
СЦ Кемерово,Короб,73.6,22.4,0.13,0.13
СЦ Ереван,Короб,71.3,21.7,0.12,0.12
СЦ Барнаул,Короб,101.2,30.8,0.18,0.18
Тула,Короб,73.6,22.4,0.13,0.13
СЦ Архангельск (ул Ленина),Короб,82.8,25.2,0.14,0.14
СЦ Минск,Короб,89.7,27.3,0,0.16
СЦ Астрахань (Солянка),Короб,71.3,21.7,0.13,0.13
СЦ Киров,Короб,85.1,25.9,0,0.15
СЦ Череповец,Короб,69.0,21.0,0.12,0.12
Казань,Короб,101.2,30.8,0.18,0.18
СЦ Нижний Тагил,Короб,96.6,29.4,0.17,0.17
Обухово СГТ,Короб,34.5,10.5,0.06,0.06
СЦ Оренбург Центральная,Короб,89.7,27.3,0.16,0.16
СЦ Воронеж,Короб,80.5,24.5,0.14,0.14
СЦ Актобе,Короб,66.7,20.3,0.12,0.12
СЦ Белогорск,Короб,73.6,22.4,0.13,0.13
Санкт-Петербург (Уткина Заводь),Короб,138.0,42.0,0.24,0.24
Голицыно СГТ,Короб,34.5,10.5,0.06,0.06
СЦ Софьино,Короб,73.6,22.4,0.13,0.13
СЦ Новокузнецк,Короб,82.8,25.2,0.14,0.14
СЦ Сабурово,Короб,59.8,18.2,0.1,0.1
СЦ Внуково,Короб,80.5,24.5,0.14,0.14
Астана 2,Короб,66.7,20.3,0.12,0.12
"Чехов 2, Новоселки вл 11 стр 7",Короб,94.3,28.7,0.16,0.16
СЦ Симферополь Молодежненское,Короб,66.7,20.3,0.12,0.12
Щербинка,Короб,92.0,28.0,0.16,0.16
СЦ Ярославль Громова,Короб,73.6,22.4,0.13,0.13
Склад Шушары,Короб,101.2,30.8,0.18,0.18
СЦ Псков,Короб,82.8,25.2,0.14,0.14
Пенза,Короб,46.0,14.0,0.08,0.08
"Чехов 1, Новоселки вл 11 стр 2",Короб,94.3,28.7,0.16,0.16
СЦ Калуга,Короб,78.2,23.8,0.14,0.14
СЦ Сыктывкар,Короб,92.0,28.0,0.16,0.16
СЦ Тамбов,Короб,59.8,18.2,0.1,0.1
Софьино СГТ,Короб,43.7,13.3,0.08,0.08
СЦ Шымкент Асар,Короб,66.7,20.3,0.12,0.12
Невинномысск,Короб,48.3,14.7,0.08,0.08
СЦ Пушкино,Короб,69.0,21.0,0.12,0.12
СЦ Тюмень,Короб,87.4,26.6,0.15,0.15
Подольск,Короб,92.0,28.0,0.16,0.16
СЦ Пушкино,Моно,94.3,28.7,51.25,0
Коледино,Моно,92.0,28.0,53.75,0
Подольск 3,Моно,78.2,23.8,42.5,0
СЦ Ижевск,Моно,87.4,26.6,47.5,0
СЦ Иваново,Моно,62.1,18.9,33.75,0
СЦ Хабаровск,Моно,39.1,11.9,21.25,0
СЦ Ярославль Громова,Моно,78.2,23.8,41.25,0
Белые Столбы,Моно,96.6,29.4,52.5,0
Алматы Атакент,Моно,32.2,9.8,17.5,0
Радумля СГТ,Моно,46.0,14.0,25.0,0
СЦ Крыловская,Моно,103.5,31.5,56.25,0
Обухово,Моно,78.2,23.8,42.5,0
СЦ Белая Дача,Моно,57.5,17.5,31.25,0
СЦ Вологда 2,Моно,82.8,25.2,45.0,0
Склад Шушары,Моно,138.0,42.0,75.0,0
Екатеринбург - Перспективный 12/2,Моно,103.5,31.5,56.25,0
Краснодар (Тихорецкая),Моно,75.9,23.1,41.25,0
Подольск 4,Моно,161.0,49.0,87.5,0
Рязань (Тюшевское),Моно,46.0,14.0,45.0,0
Тула,Моно,73.6,22.4,65.0,0
Новосемейкино,Моно,92.0,28.0,50.0,0
Воронеж,Моно,73.6,22.4,40.0,0
Котовск,Моно,71.3,21.7,48.75,0
Электросталь,Моно,78.2,23.8,41.25,0
Владимир Воршинское,Моно,96.6,29.4,52.5,0
СЦ Байсерке,Моно,32.2,9.8,17.5,0
Волгоград,Моно,50.6,15.4,27.5,0
Сарапул,Моно,96.6,29.4,52.5,0
СЦ Кузнецк,Моно,75.9,23.1,41.25,0
СЦ Барнаул,Моно,96.6,29.4,52.5,0
Кузнецк СГТ,Моно,46.0,14.0,25.0,0
СЦ Минск,Моно,89.7,27.3,48.75,0
Санкт-Петербург (Уткина Заводь),Моно,115.0,35.0,62.5,0
