,,,,,
,📄 WB КОМИССИИ,,,,
,,,,,
,📌 Актуальную информацию нужно взять тут.,,,,
,,,🗓️ Последнее обновление:,,11.11.2025
,Категория,Предмет,"Склад WB, %","Склад продавца
— везу на
склад WB, %","Склад продавца
— везу само-
стоятельно до клиента, %"
,Аксессуары для электроники,Кронштейны для видеокамер,"27,5",31,3
,Спортивный товар,Катушки для лент гимнастических,"27,5",31,3
,Садовая техника,Ножи для триммеров,"28,5",32,3
,Сантехника,Фильтры вентиляционные,"27,5",31,3
,Товары для малышей,Аксессуары к стульчикам для кормления,"26,5",30,3
,Аксессуары для электроники,Кронштейны для мониторов,"24,5",28,3
,Спортивный товар,Джамперы,"27,5",31,3
,Товары для малышей,Электро-качели,"26,5",30,3
,Шины и диски,Диски колесные,"26,5","26,5",3
,Продукты,Кофе зерновой,"21,5",25,3
,Здоровье,Спринцовки,"31,5",35,3
,Рукоделие,Доски иконные,"24,5",28,3
,Аксессуары для обуви,Гелевые подушечки,"34,5",38,3
,Аксессуары для электроники,Подсветка для телевизоров,"29,5",33,3
,Декор интерьера,Масла лампадные,"29,5",33,3
,Красота,Скрабы,"32,5",36,3
,Товары для взрослых,Виброяйца,"29,5",33,3
,Спортивные аксессуары,Шипы для шиповок,"29,5",33,3
,Садовые инструменты и полив,Пульверизаторы для растений,"24,5",28,3
,Фарма,"Препараты от простуды, гриппа и ОРВИ",3,3,3
,Белье для малышей,Термоноски для малышей,"34,5",38,3
,Продукты,Финики,"21,5",25,3
,Хранение вещей,Хранение вещей,"26,5",30,3
,Ручной инструмент и оснастка,Абразивы для пескоструйных работ,"31,5",35,3
,Игрушки,Железные дороги,"28,5",32,3
,Здоровье,Очки-тренажеры,"25,5",29,3
,Профессиональные музыкальные инструменты,Шнуры гитарные,"28,5",32,3
,Шторы и аксессуары,Фототюль,"29,5",33,3
,Товары для взрослых,Пояса верности,"29,5",33,3
,Спортивный товар,Ножи для ледобуров,"27,5",31,3
,Ювелирные украшения,Ювелирные колье,33,33,3
,Здоровье,Столы массажные,"31,5",35,3
,Автозапчасти,Электроприводы для клапанов,"26,5",30,3
,Электроинструмент и оборудование,Станки сверлильные,"30,5",34,3
,Канцелярские товары,Информационные стойки,"29,5",33,3
,Мототовары,Фильтры гидравлические,"26,5",30,3
,Здоровье,Компрессионные носки,"25,5",29,3
,Сантехника,Столешницы для ванной,"27,5",31,3
,Фарма,Неврологические препараты,3,3,3
,Спецодежда и СИЗы,Наколенники рабочие,"28,5",32,3
,Обувь,Угги,"34,5",38,3
,Спортивный товар,Крылья велосипедные,"27,5",31,3
,Техника для кухни,Фонтаны для напитков,"19,5",23,3
,Здоровье,Купальники ортопедические,"32,5",36,3
,Товары для животных,Тестеры воды для аквариума,"21,5",25,3
,Посуда и инвентарь,Наборы для специй,"29,5",33,3
,Продукты,Каши быстрого приготовления,"16,5",20,3
,Посуда и инвентарь,Наборы для приготовления коктейлей,"27,5",31,3
,Крупная бытовая техника,Сплит-системы,"19,5","19,5",3
,Автоаксессуары и дополнительное оборудование,Подлокотники,"26,5",30,3
,Товары для взрослых,Стэки эротик,"29,5",33,3
,Хранение вещей,Подставки для сумок,"26,5",30,3
,Фото и Видеотехника,Пульты для MP3-плееров,"28,5",32,3
,Белье,Неглиже,"34,5",38,3
,Ручной инструмент и оснастка,Круглогубцы,"31,5",35,3
,Посуда и инвентарь,Гусятницы,"29,5",33,3
,Товары для животных,Пеленки для животных,"21,5",25,3
,Спортивные аксессуары,Скребки для лыж,"27,5",31,3
,Автоаксессуары и дополнительное оборудование,Составляющие автомобильных ламелей,"21,5",25,3
,Товары для животных,Гетры для животных,"16,5",20,3
,Головные уборы,Наушники утепленные,"34,5",38,3
,Головные уборы,Береты,"34,5",38,3
,Цифровые товары,Электронные сертификаты,20,20,3
,Здоровье,Леггинсы послеоперационные,"27,5",31,3
,Мототовары,Ушки для шлема,"21,5",25,3
,Красота,Краски для тату,"31,5",35,3
,Бытовая техника,Вышивальные машины,"25,5",29,3
,Продукты,Шоколад кондитерский,"21,5",25,3
,Продукты,Лепешки,"21,5",25,3
,Красота,Автозагар,"32,5",36,3
,Спортивный товар,Ремни тактические,"27,5",31,3
,Красота,Разделители для пальцев,32,"35,5",3
,Красота,Держатели для флаконов лака,"32,5",36,3
,Товары для малышей,Переноски для детей,"26,5",30,3
,Ручной инструмент и оснастка,Ультразвуковые детекторы,"31,5",35,3
,Аксессуары,Футляры для защитных масок,"34,5",38,3
,Сетевое оборудование,Модемы,"24,5",28,3
,Товары для отдыха и кемпинга,Жидкости для биотуалетов,"28,5",32,3
,Посуда и инвентарь,Корзины сервировочные,"25,5",29,3
,Одежда,Мантии,"34,5",38,3
,Строительные материалы,Фиксаторы арматуры,"24,5",28,3
,Техника для кухни,Мясорубки электрические,"24,5",28,3
,Автоаксессуары и дополнительное оборудование,Накладки для проема стеклоочистителей,"26,5",30,3
,Все для садоводства,Комнатные растения,"29,5","29,5",3
,Головные уборы,Бейсболки,"34,5",38,3
,Рукоделие,Жемчуга жидкие,"24,5",28,3
,Мебель офисная и торговое оборудование,Подставки для ног,"26,5",30,3
,Товары для малышей,Детские аптечки,"26,5",30,3
,Ноутбуки и компьютеры,Ноутбуки,"14,5",18,3
,Канцелярские товары,Расписание настенное,"29,5",33,3
,Автоаксессуары и дополнительное оборудование,Накладки на багажник,"26,5",30,3
,Красота,Пигменты,"32,5",36,3
,Здоровье,Горчичники,"27,5",31,3
,Автоаксессуары и дополнительное оборудование,Нагнетатели смазки,"26,5",30,3
,Автоаксессуары и дополнительное оборудование,Стяжки пружин,"26,5",30,3
,Строительные материалы,Уголки крепежные,"28,5",32,3
,Продукты,Рыба вяленая,"21,5",25,3
,Одежда,Рубашки,"34,5",38,3
,Фото и Видеотехника,Передатчики видеосигнала,"28,5",32,3
,Автоаксессуары и дополнительное оборудование,Ролики килевые,"26,5",30,3
,Ручной инструмент и оснастка,Шпатели строительные,"31,5",35,3
,Спортивные аксессуары,Мази лыжные,29,"32,5",3
,Спортивный товар,Ниппели для спиц,"27,5",31,3
,Спортивные аксессуары,Пояса атлетические,"29,5",33,3
,Посуда и инвентарь,Держатели для бутылок,"29,5",33,3
,Аксессуары для электроники,Зарядные устройства для аккумуляторов,"27,5",31,3
,Спортивный товар,Одеяла туристические,"27,5",31,3
,Для праздника,Композиции живых цветов,"32,5",36,3
,Посуда и инвентарь,Шприцы кондитерские,"29,5",33,3
,Продукты,Охлажденная птица,"16,5",20,3
,Автозапчасти,Компрессоры кондиционера для авто,"26,5",30,3
,Товары для отдыха и кемпинга,Дрова,"28,5",32,3
,Товары для отдыха и кемпинга,Жидкости для розжига,"23,5",27,3
,Автохимия и автокосметика,Присадки автомобильные,"26,5",30,3
,Хозяйственные товары,Ведра хозяйственные,"29,5",33,3
,Товары для взрослых,Мармелад эротик,"29,5",33,3
,Спортивный товар,Ролики переключателя,"27,5",31,3
,Отделочные материалы,Комплектующие к плинтусам,"23,5",27,3
,Строительные материалы,Клейкие ленты монтажные,"28,5",32,3
,Красота,Акриловые пудры,"32,5",36,3
,Отделочные материалы,Стеклоблоки,"28,5",32,3
,Спортивная обувь,Фламенко,"34,5",38,3
,Ветаптека,Антибиотики для животных,"21,5",25,3
,Спортивные аксессуары,Гидрошлемы,"29,5",33,3
,Строительные материалы,Драйверы,"28,5",32,3
,Садовая техника,Запчасти для цепных пил,"28,5",32,3
,Мебель офисная и торговое оборудование,Ручки мебельные,"26,5",30,3
,Сантехника,Комплекты для монтажа радиаторов,"27,5",31,3
,Обувь,Туфли,"34,5",38,3
,Сантехника,Теплоносители,"27,5",31,3
,Здоровье,Вкладыши для слуховых аппаратов,"25,5",29,3
,Техника для кухни,Электрические консервные ножи,"24,5",28,3
,Ветаптека,Препараты для лечение глаз и ушей у животных,"21,5",25,3
,Одежда,Пуховики,"34,5",38,3
,Ветаптека,Иммуностимуляторы для животных,"16,5",20,3
,Рукоделие,Гипс скульптурный,"24,5",28,3
,Хозяйственные товары,Мешки для стирки,"29,5",33,3
,Освещение,Ночники,"29,5",33,3
,Телевизоры и аудиотехника,Приемники видеосигнала,"24,5",28,3
,Спортивные аксессуары,Щетки для лыж,"27,5",31,3
,Одежда,Полукомбинезоны,"34,5",38,3
,Здоровье,Шприцы-ручки,"25,5",29,3
,Здоровье,Нити для подтяжки лица,"25,5",29,3
,Мототовары,Прокладки двигателя для мототехники,"26,5",30,3
,Бытовая химия,Соль для посудомоечной машины,"29,5",33,3
,Телевизоры и аудиотехника,Спикерфоны,"26,5",30,3
,Товары для животных,Вилы для уборки,"21,5",25,3
,Здоровье,Маски антихрап,"27,5",31,3
,Садовая техника,Шины для цепных пил,"28,5",32,3
,Товары для взрослых,Концентраты феромонов,"29,5",33,3
,Игрушки,Чехлы для фиджет спиннеров,"28,5",32,3
,Мебель офисная и торговое оборудование,Трибуны офисные,26,"29,5",3
,Товары для отдыха и кемпинга,Фигурки и обереги для бани,"28,5",32,3
,Спортивные аксессуары,Гермочехлы,"29,5",33,3
,Рукоделие,Формы для мыла,"29,5",33,3
,Товары для взрослых,Комбинезоны эротик,"29,5",33,3
,Сантехника,Подводки для газа,"27,5",31,3
,Мебель корпусная и мебель для хранения,Стеллажи,"26,5",30,3
,Товары для животных,Суспензии для животных,"21,5",25,3
,Одежда для малышей,Ветровки для малышей,"34,5",38,3
,Здоровье,Комплектующие для инвалидных колясок,"32,5",36,3
,Продукты,Креветки,"16,5",20,3
,Одежда,Халаты банные,"34,5",38,3
,Лотереи,Лотереи,10,10,3
,Красота,Тени,"32,5",36,3
,Техника для кухни,Шестерни для мясорубок,"24,5",28,3
,Текстиль для дома,Чехлы для мебели,"29,5",33,3
,Ручной инструмент и оснастка,Хоппер-ковши,"31,5",35,3
,Одежда для малышей,Дождевики для малышей,"34,5",38,3
,Автоаксессуары и дополнительное оборудование,Автомобильные антенны,"26,5",30,3
,Одежда для малышей,Дафлкоты для малышей,"29,5",33,3
,Обувь,Балетки,"34,5",38,3
,Спортивные аксессуары,Уздечки,"29,5",33,3
,Алкогольная продукция,Аквавит,"4,5","4,5",3
,Спортивный товар,Запчасти для втулок,"27,5",31,3
,Товары для курения,Колпаки для кальяна,"28,5",32,3
,Ручной инструмент и оснастка,Счетчики пылевых частиц,31,"34,5",3
,Продукты,Чернила пищевые,"21,5",25,3
,Обувь,Унты,"34,5",38,3
,Мебель корпусная и мебель для хранения,Шкафы для спальни,"26,5",30,3
,Автоаксессуары и дополнительное оборудование,Наборы автомобилиста,"26,5",30,3
,Игровые консоли и игры,Камеры для игровых консолей,"21,5",25,3
,Профессиональные музыкальные инструменты,Струны,"28,5",32,3
,Строительные материалы,Клеммники,"28,5",32,3
,Продукты,Зельц,"16,5",20,3
,Хозяйственные товары,Полотенца бумажные,"29,5",33,3
,Товары для отдыха и кемпинга,Шапки для бани,"28,5",32,3
,Автозапчасти,Растяжки поперечного рычага,"26,5",30,3
,Транспортные средства,Питбайки,"0,5","0,5","0,5"
,Товары для животных,Вертлюги для животных,"21,5",25,3
,Телевизоры и аудиотехника,Проекторы,"21,5",25,3
,Электроинструмент и оборудование,Пневмоножницы,"30,5",34,3
,Посуда и инвентарь,Молоковарки,"29,5",33,3
,Продукты,Консервы грибные,"21,5",25,3
,Автозапчасти,Контрольные системы давления в шинах,"26,5",30,3
,Аксессуары для электроники,Блоки питания для антенн,"27,5",31,3
,Спортивные аксессуары,Фартуки рыболовные,"29,5",33,3
,Товары для взрослых,Секс машины,"29,5",33,3
,Спортивный товар,Ремкомплекты велосипедные,"22,5",26,3
,Канцелярские товары,Чертежные доски,"29,5",33,3
,Здоровье,Серьги медицинские,"27,5",31,3
,Белье,Чашки для бюстгальтера,"34,5",38,3
,Аксессуары для электроники,Кронштейны для телевизоров,"24,5",28,3
,Строительные материалы,Усилители для микроэлектроники,"28,5",32,3
,Товары для животных,Шланги для аквариума,"21,5",25,3
,Профессиональные музыкальные инструменты,MIDI-контроллеры,28,"31,5",3
,Здоровье,Браслеты от укачивания,"31,5",35,3
,Бытовая техника,Триммеры,"25,5",29,3
,Все для садоводства,Вермикулит,"29,5","29,5",3
,Профессиональные музыкальные инструменты,Варганы,"28,5",32,3
,Спортивный товар,Батуты,"27,5",31,3
,Товары для взрослых,Печенье эротик,"29,5",33,3
,Рукоделие,Пряжа,"29,5",33,3
,Аксессуары для малышей,Шапки для малышей,"34,5",38,3
,Автозапчасти,Направляющие суппорта,"26,5",30,3
,Товары для взрослых,Возбуждающие средства,"29,5",33,3
,Автозапчасти,Кулачки механизма ручного стартера,26,"29,5",3
,Строительные материалы,Контроллеры для микроэлектроники,"28,5",32,3
,Мебель офисная и торговое оборудование,Автоматы торговые механические,"26,5",30,3
,Автозапчасти,Свечи зажигания,"26,5",30,3
,Ручной инструмент и оснастка,Тестеры батареек,"31,5",35,3
,Красота,Спреи,"32,5",36,3
,Спортивный товар,Подшипники,"27,5",31,3
,Спецодежда и СИЗы,Тапочки одноразовые,"28,5",32,3
,Автозапчасти,Регуляторы автомобильные,"26,5",30,3
,Мебель офисная и торговое оборудование,Подъемные механизмы для мебели,"26,5",30,3
,Здоровье,Приспособления для надевания белья,25,"28,5",3
,Спортивный товар,Сапборды,"27,5",31,3
,Товары для взрослых,Вибротрусики,"29,5",33,3
,Строительные материалы,Запчасти для электрических щитков,"28,5",32,3
,Спортивный товар,Буи,"27,5",31,3
,Спортивный товар,Кувалды для тренировок,"27,5",31,3
,Аксессуары для электроники,Запчасти для стиральных машин,"28,5",32,3
,Ноутбуки и компьютеры,Салазки для накопителей,"24,5",28,3
,Аксессуары для электроники,Кабели,"29,5",33,3
,Ноутбуки и компьютеры,Подсветка для ноутбука,"24,5",28,3
,Садовая техника,Бензопилы,"19,5",23,3
,Товары для животных,Ошейники,"21,5",25,3
,Аксессуары,Перчатки,"34,5",38,3
,Продукты,Хлопья овсяные,"16,5",20,3
,Транспортные средства,Грузовой и коммерческий транспорт,"0,5","0,5","0,5"
,Товары для животных,Аксессуары для конюшни,"21,5",25,3
,Садовая техника,Садовая техника,"28,5",32,3
,Крупная бытовая техника,Машины посудомоечные,"19,5","19,5",3
,Профессиональные музыкальные инструменты,Бубенцы,"28,5",32,3
,Автозапчасти,Шкивы ременные,"26,5",30,3
,Здоровье,Вставки для большого пальца,"25,5",29,3
,Фарма,Противогеморроидальные препараты,3,3,3
,Белье,Нижние юбки,"34,5",38,3
,Фарма,Препараты для опорно-двигательного аппарата,3,3,3
,Товары для отдыха и кемпинга,Аксессуары для садовой мебели,"28,5",32,3
,Красота,Временные татуировки и стразы,"27,5",31,3
,Мототовары,Экипировка для картинга,"21,5",25,3
,Аксессуары для электроники,Насадки для машинок,"25,5",29,3
,Товары для малышей,Наборы для ухода за новорожденными,"26,5",30,3
,Мототовары,Краны топливные для мототехники,"26,5",30,3
,Спецодежда и СИЗы,Краги сварщика,33,"36,5",3
,Товары для животных,Светильники для террариумов,"21,5",25,3
,Мебель малых форм,Столы,"26,5",30,3
,Отделочные материалы,Переходы дверные,"28,5",32,3
,Хозяйственные товары,Насадки для швабр,"29,5",33,3
,Продукты,Солезаменители,"21,5",25,3
,Продукты,Перга,"21,5",25,3
,Все для садоводства,Проращиватели семян,"29,5","29,5",3
,Строительные материалы,Преобразователи,"28,5",32,3
,Здоровье,Гинекологические наборы,"27,5",31,3
,Спортивные аксессуары,Табло судейские,"29,5",33,3
,Строительные материалы,Блоки строительные,"23,5",27,3
,Товары для малышей,Одеяла для малышей,"26,5",30,3
,Транспортные средства,Скутеры,"0,5","0,5","0,5"
,Сантехника,Гигиенические поддоны под мойку,"27,5",31,3
,Продукты,Мороженое,"16,5",20,3
,Спортивные аксессуары,Карточки судейские,"24,5",28,3
,Мототовары,Двигатели для мототехники,"26,5",30,3
,Спортивный товар,Обручи,"27,5",31,3
,Продукты,Щербет,"21,5",25,3
,Фото и Видеотехника,Пульты для камер,28,"31,5",3
,Автозапчасти,Составляющие рулевых тяг,"21,5",25,3
,Аксессуары для обуви,Формодержатели,"34,5",38,3
,Все для садоводства,Светильники уличные,"29,5","29,5",3
,Профессиональные музыкальные инструменты,Гармошки,"28,5",32,3
,Спортивный товар,Жилеты утяжелители,"27,5",31,3
,Ручной инструмент и оснастка,Кисти для клея,"26,5",30,3
,Продукты,Грибы свежие,"16,5",20,3
,Отделочные материалы,Добавки для жидких обоев,28,"31,5",3
,Товары для животных,Дымари для пчел,"21,5",25,3
,Для праздника,Карнавальные очки,"32,5",36,3
,Умный дом и безопасность,Умные лампочки,"24,5",28,3
,Спортивный товар,Вертлюги рыболовные,"27,5",31,3
,Красота,Хайлайтеры,"32,5",36,3
,Продукты,Батончики злаковые,"21,5",25,3
,Для праздника,Фонари новогодние,"32,5",36,3
,Ручной инструмент и оснастка,Валики малярные,"31,5",35,3
,Сантехника,Клапаны вентиляционные,"22,5",26,3
,Товары для животных,Футболки для животных,"21,5",25,3
,Аксессуары для волос,Шпильки-спиральки,"34,5",38,3
,Детское питание,Смузи детские,"24,5",28,3
,Товары для животных,Лежаки для животных,"21,5",25,3
,Транспортные средства,Модули для мотобуксировщика,"0,5","0,5","0,5"
,Ветаптека,Дерматологические препараты для животных,"17,5",21,3
,Мебель садовая,Кресла-шезлонги,"26,5",30,3
,Электроинструмент и оборудование,Ножницы по металлу электрические,"30,5",34,3
,Аксессуары для обуви,Автопятки,"34,5",38,3
,Посуда и инвентарь,Подставки для коптильни,"24,5",28,3
,Канцелярские товары,Анатомические модели,"29,5",33,3
,Строительные материалы,Разветвители электрические,"28,5",32,3
,Спортивный товар,Самостраховки,27,"30,5",3
,Здоровье,Спреи для горла,"25,5",29,3
,Здоровье,Капли назальные,"25,5",29,3
,Сантехника,Донные клапаны,"27,5",31,3
